"module name","licenses","repository","licenseUrl","parents"
"@0no-co/graphql.web@1.0.4","MIT","https://github.com/0no-co/graphql.web","https://github.com/0no-co/graphql.web/raw/master/LICENSE.md","@swan-io/partner-mobile"
"@fastify/autoload@5.7.1","MIT","https://github.com/fastify/fastify-autoload","https://github.com/fastify/fastify-autoload/raw/master/LICENSE","@swan/partner-mobile-server"
"@fastify/cookie@8.3.0","MIT","https://github.com/fastify/fastify-cookie","https://github.com/fastify/fastify-cookie/raw/master/LICENSE","@swan/partner-mobile-server"
"@fastify/helmet@10.1.1","MIT","https://github.com/fastify/fastify-helmet","https://github.com/fastify/fastify-helmet/raw/master/LICENSE","@swan/partner-mobile-server"
"@fastify/reply-from@9.2.0","MIT","https://github.com/fastify/fastify-reply-from","https://github.com/fastify/fastify-reply-from/raw/master/LICENSE","@swan/partner-mobile-server"
"@fastify/sensible@5.2.0","MIT","https://github.com/fastify/fastify-sensible","https://github.com/fastify/fastify-sensible/raw/master/LICENSE","@swan/partner-mobile-server"
"@formatjs/intl@2.9.0","MIT","https://github.com/formatjs/formatjs","https://github.com/formatjs/formatjs/raw/master/LICENSE.md","@swan-io/partner-mobile"
"@hapi/iron@7.0.1","BSD-3-Clause","https://github.com/hueniverse/iron","https://github.com/hueniverse/iron/raw/master/LICENSE.md","@swan/partner-mobile-server"
"@react-native-async-storage/async-storage@1.18.2","MIT","https://github.com/react-native-async-storage/async-storage","https://github.com/react-native-async-storage/async-storage/raw/master/LICENSE","@swan-io/partner-mobile"
"@react-navigation/native-stack@6.9.12","MIT","https://github.com/react-navigation/react-navigation","https://github.com/react-navigation/react-navigation/raw/master/LICENSE","@swan-io/partner-mobile"
"@react-navigation/native@6.1.6","MIT","https://github.com/react-navigation/react-navigation","https://github.com/react-navigation/react-navigation/raw/master/LICENSE","@swan-io/partner-mobile"
"@urql/exchange-graphcache@6.1.3","MIT","https://github.com/urql-graphql/urql","https://github.com/urql-graphql/urql/raw/master/LICENSE","@swan-io/partner-mobile"
"axios@1.4.0","MIT","https://github.com/axios/axios","https://github.com/axios/axios/raw/master/LICENSE","@swan/partner-mobile-server"
"close-with-grace@1.2.0","MIT","https://github.com/mcollina/close-with-grace","https://github.com/mcollina/close-with-grace/raw/master/LICENSE","@swan/partner-mobile-server"
"core-js@3.31.0","MIT","https://github.com/zloirock/core-js","https://github.com/zloirock/core-js/raw/master/LICENSE","@swan-io/partner-mobile"
"dotenv@16.1.4","BSD-2-Clause","https://github.com/motdotla/dotenv","https://github.com/motdotla/dotenv/raw/master/LICENSE","@swan/partner-mobile-server"
"fastify-healthcheck@4.4.0","Apache-2.0","https://github.com/smartiniOnGitHub/fastify-healthcheck","https://github.com/smartiniOnGitHub/fastify-healthcheck/raw/master/LICENSE","@swan/partner-mobile-server"
"fastify-plugin@4.5.0","MIT","https://github.com/fastify/fastify-plugin","https://github.com/fastify/fastify-plugin/raw/master/LICENSE","@swan/partner-mobile-server"
"fastify@4.18.0","MIT","https://github.com/fastify/fastify","https://github.com/fastify/fastify/raw/master/LICENSE","@swan/partner-mobile-server"
"react-atomic-state@1.2.7","MIT","https://github.com/zoontek/react-atomic-state","https://github.com/zoontek/react-atomic-state/raw/master/LICENSE","@swan-io/partner-mobile"
"react-error-boundary@4.0.10","MIT","https://github.com/bvaughn/react-error-boundary","https://github.com/bvaughn/react-error-boundary/raw/master/LICENSE","@swan-io/partner-mobile"
"react-native-bars@2.2.0","MIT","https://github.com/zoontek/react-native-bars","https://github.com/zoontek/react-native-bars/raw/master/LICENSE","@swan-io/partner-mobile"
"react-native-bootsplash@4.7.2","MIT","https://github.com/zoontek/react-native-bootsplash","https://github.com/zoontek/react-native-bootsplash/raw/master/LICENSE","@swan-io/partner-mobile"
"react-native-localize@3.0.0","MIT","https://github.com/zoontek/react-native-localize","https://github.com/zoontek/react-native-localize/raw/master/LICENSE","@swan-io/partner-mobile"
"react-native-safe-area-context@4.5.3","MIT","https://github.com/th3rdwave/react-native-safe-area-context","https://github.com/th3rdwave/react-native-safe-area-context/raw/master/LICENSE","@swan-io/partner-mobile"
"react-native-screens@3.20.0","MIT","https://github.com/software-mansion/react-native-screens","https://github.com/software-mansion/react-native-screens/raw/master/LICENSE","@swan-io/partner-mobile"
"react-native-svg@13.9.0","MIT","https://github.com/react-native-community/react-native-svg","https://github.com/react-native-community/react-native-svg/raw/master/LICENSE","@swan-io/partner-mobile"
"react-native@0.71.10","MIT","github:facebook/react-native","github:facebook/react-native","@swan-io/partner-mobile"
"react@18.2.0","MIT","https://github.com/facebook/react","https://github.com/facebook/react/raw/master/LICENSE","@swan-io/partner-mobile"
"ts-pattern@5.0.0","MIT","https://github.com/gvergnaud/ts-pattern","https://github.com/gvergnaud/ts-pattern/raw/master/LICENSE","@swan/partner-mobile-server"
"ts-pattern@5.0.1","MIT","https://github.com/gvergnaud/ts-pattern","https://github.com/gvergnaud/ts-pattern/raw/master/LICENSE","@swan-io/partner-mobile"
"url-parse@1.5.10","MIT","https://github.com/unshiftio/url-parse","https://github.com/unshiftio/url-parse/raw/master/LICENSE","@swan-io/partner-mobile"
"urql@4.0.4","MIT","https://github.com/urql-graphql/urql","https://github.com/urql-graphql/urql/raw/master/LICENSE","@swan-io/partner-mobile"
"valienv@0.5.0","MIT","https://github.com/zoontek/valienv","https://github.com/zoontek/valienv/raw/master/LICENSE","@swan/partner-mobile-server"